69.07	5.35	9.93	58.76	58.50	-184.96	311.36	428.28	-3414.81	30.51	21.04	27.04	-9999.00	25.70	0.00	0.00	0.00	119.23	54.38	655.11	-8.12	-122.30	-126.49	-0.66	0.02	0.00	0.02	0.02	73.09	108.14	100.36	79.00	67.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
70.08	12.81	4.48	59.03	58.58	-184.96	280.48	425.12	-3416.42	29.50	10.31	32.49	-9999.00	34.19	0.00	0.00	0.00	118.96	49.68	653.63	-8.12	-122.33	-126.37	-0.66	0.00	-0.01	0.01	0.01	72.27	107.23	99.41	79.23	66.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
71.12	34.74	9.24	59.22	58.38	-184.96	329.28	423.61	-3411.59	27.46	41.98	27.73	-9999.00	21.45	0.00	0.00	0.00	118.93	49.39	653.44	-8.12	-122.30	-126.49	-0.66	-0.02	-0.03	0.02	0.02	69.15	108.12	99.41	79.23	67.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
73.12	13.29	12.95	59.52	59.25	-184.98	347.58	421.64	-3422.07	26.45	33.25	24.02	-9999.00	51.18	0.00	0.00	0.00	118.02	47.49	648.44	-8.13	-122.41	-126.41	-0.66	0.00	-0.01	0.02	0.02	67.17	108.12	99.41	79.25	67.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
75.13	32.52	11.85	59.68	59.21	-184.96	343.76	420.88	-3418.04	25.45	37.44	25.12	-9999.00	46.94	0.00	0.00	0.00	118.42	46.41	650.63	-8.13	-122.60	-126.45	-0.66	-0.01	-0.05	0.02	0.02	67.15	108.10	99.41	79.25	66.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
77.14	30.98	9.79	59.94	59.73	-184.96	324.70	418.93	-3422.87	24.44	16.24	27.18	-9999.00	38.44	0.00	0.00	0.00	118.67	44.78	652.02	-8.12	-122.52	-126.45	-0.66	-0.01	-0.05	0.02	0.02	65.17	108.11	99.41	79.27	66.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
79.15	28.16	10.66	60.06	59.76	-184.98	333.85	417.18	-3411.59	23.43	35.62	26.31	-9999.00	51.18	0.00	0.00	0.00	118.86	42.99	653.06	-8.12	-122.45	-126.53	-0.66	-0.01	-0.01	0.02	0.02	64.37	108.11	99.41	78.31	66.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
81.16	24.99	7.68	60.17	59.88	-184.98	311.74	417.16	-3418.04	22.42	18.75	29.28	-9999.00	51.18	0.00	0.00	0.00	118.64	43.88	651.87	-8.12	-122.52	-126.41	-0.66	-0.03	-0.08	0.01	0.01	64.37	108.11	99.41	78.29	66.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
83.18	20.39	6.72	60.36	60.28	-184.98	304.49	415.23	-3416.42	21.39	22.08	30.25	-9999.00	51.18	0.00	0.00	0.00	118.73	41.08	652.35	-8.13	-122.49	-126.53	-0.66	0.01	-0.08	0.01	0.01	62.39	108.12	99.44	78.31	66.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
85.00	8.00	9.50	57.47	58.46	-184.94	17.03	429.29	-3415.62	44.68	0.00	22.47	-9999.00	0.00	0.00	0.00	0.00	0.00	55.11	0.00	-8.12	-122.60	-126.33	-0.66	-0.01	-0.04	0.00	0.00	53.26	112.08	105.60	81.69	76.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
