Minerals data file for Calpine CMHC-8
depthQ C P E Y L X A T (Qtz,Calcite,Pyrite,Epidote,pYrhotite,chLorite,aXinite,Actinolite,Tourmaline)
2520 r m t - - t - - -
2530 r r t - - t - - -
2540 r r t - - t - - -
2550 r r t - - t - - -
2560 r t t - - t - - -
2570 - r t - - r - - -
2580 - r t - - r - - -
2590 - r t - - r - - -
2600 - r t - - r - - -
2610 - - t - - r - - -
2620 - - t - - r - - -
2630 - - t - - r - - -
2640 - r t - - r - - -
2650 - r t - - r - - -
2660 - - t - - r - - -
2670 - - t - - r - - -
2680 - - t - - r - - -
2690 - - t - - r - - -
2700 - r t - - r - - -
2710 - r t - - r - - -
2720 - - t - - r - - -
2730 - - t - - r - - -
2740 - - t - - r - - -
2750 - - t - - r - - -
2760 r - t - - r - - -
2770 r - t - - r - - -
2780 - - t - - r - - -
2790 - - t - - r - - -
2800 - - t - - r - - -
2810 - - t - - r - - -
2820 - r t - - r - - -
2830 r t t - - r - - -
2840 r t t - - r - - -
2850 - - - - - - - - -
2860 r r t - - r - - -
2870 t m t - - t - - -
2880 r c t - - t - - -
2890 r a t - - t - - -
2900 r c t - - t - - - 
2910 r m t - - t - - -
2920 r t t - - t - - -
2930 r t t - - t - - -
2940 - - r - - - - - -
2950 - - t - - r - - -
2960 - - t - - t - - -
2970 - - t - - t - - -
2980 - - t - - t - - -
2990 - - t - - t - - -
3000 - - t - - t - - -
3010 - - t - - t - - -
3020 - - t - - t - - -
3030 - - t - - t - - -
3040 - - t - - t - - -
3050 - - t - - t - - -
3060 - r t - - t - - -
3070 - r t - - t - - -
3080 - r t - - t - - -
3090 - - t - - t - - -
3100 - - t - - t - - -
3110 - - t - - t - - -
3120 - - t - - t - - -
3130 - - t - - t - - -
3140 - - t - - t - - -
3150 - - t - - t - - -
3160 - - t - - r - - -
3170 m r t - - r - - -
3180 m r r - - r - - -
3190 - - r - - t - - -
3200 - - r - - t - - -
3210 - - t - - t - - -
3220 m r t - - t - - -
3230 - - - - - - - - -
3240 - - - - - - - - -
3250 - r r - - t - - -
3260 - r - - - r - - -
3270 - t m - - t - - -
3280 m - t - - m - - -
3290 r - t - - t - - -
3300 t - t - - t - - -
3310 t - t - - t - - -
3320 t - t - - t - - -
3330 t - t - - t - - -
3340 r - t - - t - - -
3350 r - t - - t - - -
3360 - - t - - t - - -
3370 m m t - - t - - -
3380 - - t - - t - - -
3390 - - t - - t - - -
3400 - - t - - t - - -
3410 r - t - - t - - -
3420 r - t - - t - - -
3430 - - t - - t - - -
3440 - r t - - t - - -
3450 - - t - - t - - -
3460 - - t - - t - - -
3470 - - t - - t - - -
3480 - - t - - t - - -
3490 - - t - - t - - -
3500 t - t - - t - - -
3510 m - t - - t - - -
3520 t - r - - t - - -
3530 r - r - - t - - -
3540 r - t - - r - - -
3550 - - - - - - - - -
3560 r - t - - r - - -
3570 t - t - - t - - -
3580 r - r - - r - - -
3590 r - r - - r - - -
3600 m r t - - t - - -
3610 t - t - - t - - -
3620 - - t - - t - - -
3630 - - t - - t - - -
3640 - - t - - t - - -
3650 r - t - - t - - -
