1170	130
1250	116
1350	136
1400	144
1410	125
1470	130
1500	137
1570	142
1620	140
1700	140
1720	141
1770	146
1830	144
1870	142
1900	143
1960	146
1980	150
2020	152
2070	163
2140	168
2200	170
2220	156
2270	158
2300	161
2330	163
2400	162
2420	163
2500	156
2570	155
2600	156
2630	150
2650	145
2700	145
2730	150
2780	152
2800	160
2850	160
2900	151
2930	165
2980	170
3020	170
3230	176
3300	185
3440	185
3480	190
3600	190
3720	197
3780	190
3860	194
3920	194
4100	191
4160	197
4250	199
4290	200
4350	198
4410	203
4440	197
4520	198
4600	198
4630	198
4650	196
4700	196
4770	200
4820	197
4880	200
5030	200
5040	203
5100	201
5140	245
5180	242
5218	242
5250	258
5300	260
5320	240
5400	240
5480	245
5510	245
5540	250
5565	250
5590	285
5610	285
5640	300
5970	315
6010	312
6100	310
6200	312
6300	288
6310	297
6350	315
6400	320
6420	325
6490	285
6510	340
6600	340
6650	340
6700	300
6770	298
6790	295
6840	300
6900	300
6960	300
6980	298
7010	300
7060	295
7440	295
7460	310
7540	310
7550	300
7580	306
7840	305
7842	335
7880	330
7881	310
7950	310
7951	260
8010	260
8040	290
8110	290
8130	280
8160	280
8180	270
8295	270
8300	250
8660	250
8662	230.79
8663.01	230.93
8672.06	209.47
8682.23	241.57
8692.28	249.54
8702.33	252.06
8712.38	258.73
8722.43	260.06
8732.48	262.04
8742.53	242.79
8752.58	262.92
8762.63	257.09
8772.68	267
8780.72	254.53
8790.77	256.33
8800.82	268.91
8810.87	249.92
8820.92	251.03
8830.98	259.34
8841.03	254.15
8851.08	266.7
8861.12	263.23
8871.18	263.07
8881.23	255.6
8891.28	256.48
8901.35	279.09
8911.4	282.75
8921.45	284.19
8931.5	290.98
8941.55	287.44
8951.6	287.82
8961.65	251.1
8971.7	266.73
8981.75	270.32
8992.01	284.77
9002.06	275.62
9012.11	275.12
9022.16	287.13
9032.21	278.9
9042.25	250.26
9052.3	268.49
9061.35	285.15
9071.4	287.24
9081.44	293.04
9091.03	287.36
9101.08	288.12
9111.13	288.66
9121.18	290.07
9131.23	290.6
9141.27	291.29
9151.32	295.86
9161.37	290.94
9171.42	292.01
9181.47	291.32
9191.52	297.5
9201.57	295.29
9213.81	297.96
9223.86	291.74
9233.91	291.59
9243.96	297
9254.01	296.89
9264.05	296.74
9275	299.22
9285.05	297.46
9295.1	295.86
9307	306.76
9317.09	266.39
9327.14	286.18
9337.19	271.99
9347.24	262.23
9357.29	261.32
9367.34	263.3
9378.05	248.32
9388.1	278.51
9398.14	267.39
9407.02	280.23
