Calpine	GGC-5										
Depth	Q	C	P	E	Y	L	X	A	"T (Qtz,Calcite,Pyrite,Epidote,pYrhotite,chLorite,aXinite,Actinolite,Tourmaline)"		
1510	t	m	-	-	-	-	-	-	-		
1520	t	m	r	-	-	-	-	-	-		
1530	t	m	r	-	-	-	-	-	-		
1540	t	m	r	-	-	-	-	-	-		
1550	t	m	r	-	-	-	-	-	-		
1560	t	t	r	-	-	-	-	-	-		
1570	t	t	r	-	-	-	-	-	-		
1580	t	t	r	-	-	-	-	-	-		
1590	t	t	r	-	-	-	-	-	-		
1600	t	m	r	-	-	-	-	-	-		
1610	t	m	r	-	-	-	-	-	-		
1620	t	t	r	-	-	-	-	-	-		
1630	t	t	r	-	-	-	-	-	-		
1640	t	t	r	-	-	-	-	-	-		
1650	t	t	r	-	-	-	-	-	-		
1660	t	t	r	-	-	-	-	-	-		
1670	t	t	r	-	-	-	-	-	-		
1680	t	t	r	-	-	-	-	-	-		
1690	t	t	r	-	-	-	-	-	-		
1700	t	t	r	-	-	-	-	-	-		
1710	t	t	r	-	-	-	-	-	-		
1720	t	t	r	-	-	-	-	-	-		
1730	t	t	r	-	-	-	-	-	-		
1740	t	t	r	-	-	-	-	-	-		
1750	t	t	r	-	-	-	-	-	-		
1760	t	c	r	-	-	-	-	-	-		
1770	t	c	r	-	-	-	-	-	-		
1780	t	c	t	-	-	-	-	-	-		
1790	t	c	t	-	-	-	-	-	-		
1800	t	c	t	-	-	-	-	-	-		
1810	t	c	t	-	-	-	-	-	-		
1820	r	t	m	-	-	-	-	-	-		
1830	r	t	m	-	-	-	-	-	-		
1840	r	m	t	-	-	-	-	-	-		
1850	r	m	t	-	-	-	-	-	-		
1860	r	t	t	-	-	-	-	-	-		
1870	r	t	t	-	-	-	-	-	-		
1880	r	m	t	-	-	-	-	-	-		
1890	r	m	t	-	-	-	-	-	-		
1900	r	t	t	-	-	-	-	-	-		
1910	r	t	t	-	-	-	-	-	-		
1920	r	t	r	-	-	-	-	-	-		
1930	r	t	r	-	-	-	-	-	-		
1940	r	t	r	-	-	-	-	-	-		
1950	r	t	r	-	-	-	-	-	-		
1960	r	t	r	-	-	-	-	-	-		
1970	r	t	r	-	-	-	-	-	-		
1980	r	t	r	-	-	-	-	-	-		
1990	r	t	r	-	-	-	-	-	-		
2000	r	t	r	-	-	-	-	-	-		
2010	r	t	r	-	-	-	-	-	-		
2020	r	m	t	-	-	-	-	-	-		
2030	r	m	t	-	-	-	-	-	-		
2040	r	m	t	-	-	-	-	-	-		
2050	r	m	t	-	-	-	-	-	-		
2060	r	m	t	-	-	-	-	-	-		
2070	r	m	t	-	-	-	-	-	-		
2080	r	t	t	-	-	-	-	-	-		
2090	r	t	t	-	-	-	-	-	-		
2100	r	t	t	-	-	-	-	-	-		
2110	r	t	t	-	-	-	-	-	-		
2120	r	t	t	-	-	-	-	-	-		
2130	r	t	t	-	-	-	-	-	-		
2140	-	t	t	-	-	-	-	-	-		
2150	-	t	t	-	-	-	-	-	-		
2160	-	m	t	-	-	-	-	-	-		
2170	-	m	t	-	-	-	-	-	-		
2180	r	m	t	-	-	-	-	-	-		
2190	r	m	t	-	-	-	-	-	-		
2200	r	t	m	-	-	-	-	-	-		
2210	r	t	m	-	-	-	-	-	-		
2220	r	m	r	-	-	-	-	-	-		
2230	r	m	r	-	-	-	-	-	-		
2240	t	m	r	-	-	-	-	-	-		
2250	t	m	r	-	-	-	-	-	-		
2260	-	m	t	-	-	-	-	-	-		
2270	-	m	t	-	-	-	-	-	-		
2280	-	m	t	-	-	-	-	-	-		
2290	-	m	t	-	-	-	-	-	-		
2300	-	m	t	-	-	-	-	-	-		
2310	-	m	t	-	-	-	-	-	-		
2320	-	m	r	-	-	-	-	-	-		
2330	-	m	r	-	-	-	-	-	-		
2340	-	m	r	-	-	-	-	-	-		
2350	-	m	r	-	-	-	-	-	-		
2360	-	m	r	-	-	-	-	-	-		
2370	-	m	r	-	-	-	-	-	-		
2380	-	m	r	-	-	-	-	-	-		
2390	-	m	r	-	-	-	-	-	-		
2400	-	m	r	-	-	-	-	-	-		
2410	-	m	r	-	-	-	-	-	-		
2420	-	m	r	-	-	-	-	-	-		
2430	-	m	r	-	-	-	-	-	-		
2440	-	m	r	-	-	-	-	-	-		
2450	-	m	r	-	-	-	-	-	-		
2460	-	m	r	-	-	-	-	-	-		
2470	-	m	r	-	-	-	-	-	-		
2480	-	m	r	-	-	-	-	-	-		
2490	-	m	r	-	-	-	-	-	-		
2500	-	m	r	-	-	-	-	-	-		
