Calpine	GGC-5										
Depth	Q	C	P	E	Y	L	X	A	"T (Qtz,Calcite,Pyrite,Epidote,pYrhotite,chLorite,aXinite,Actinolite,Tourmaline)"		
6210	-	-	-	r	-	-	-	-	-		
6220	-	-	-	r	-	-	-	-	-		
6230	-	-	-	r	-	-	-	-	-		
6240	-	-	-	r	-	-	-	-	-		
6250	-	-	-	r	-	-	-	-	-		
6260	-	-	-	r	-	-	-	-	-		
6270	-	-	-	r	-	-	-	-	-		
6280	-	-	-	r	-	-	-	-	-		
6290	-	-	-	r	-	-	-	-	-		
6300	-	-	-	r	-	-	-	-	-		
6310	-	-	-	r	-	-	-	-	-		
6320	-	-	-	r	-	-	-	-	-		
6330	-	-	-	r	-	-	-	-	-		
6340	-	-	-	r	-	-	-	-	-		
6350	-	-	-	r	-	-	-	-	-		
6360	-	-	-	r	-	-	-	-	-		
6370	-	-	-	r	-	-	-	-	-		
6380	-	-	-	r	-	-	-	-	-		
6390	-	-	-	r	-	-	-	-	-		
6400	-	-	-	r	-	-	-	-	-		
6410	-	-	-	r	-	-	-	-	-		
6420	-	-	-	r	-	-	-	-	-		
6430	-	-	-	r	-	-	-	-	-		
6440	-	-	-	r	-	-	-	-	-		
6450	-	-	-	r	-	-	-	-	-		
6460	-	-	-	r	-	-	-	-	-		
6470	-	-	-	r	-	-	-	-	-		
6480	-	-	-	r	-	-	-	-	-		
6490	-	-	-	r	-	-	-	-	-		
6500	-	-	-	r	-	-	-	-	-		
6510	-	-	-	r	-	-	-	-	-		
6520	-	-	t	r	-	-	-	-	-		
6530	-	-	t	r	-	-	-	-	-		
6540	-	-	t	r	-	-	-	-	-		
6550	-	-	t	r	-	-	-	-	-		
6560	-	-	t	r	-	-	-	-	-		
6570	-	-	t	r	-	-	-	-	-		
6580	-	-	t	r	-	-	-	-	-		
6590	-	-	t	r	-	-	-	-	-		
6600	-	-	t	r	-	-	-	-	-		
6610	-	-	t	r	-	-	-	-	-		
6620	-	-	-	r	-	-	-	-	-		
6630	-	-	-	r	-	-	-	-	-		
6640	-	-	-	-	-	-	-	-	-		
6650	-	-	-	-	-	-	-	-	-		
6660	-	-	-	-	-	-	-	-	-		
6670	-	-	-	-	-	-	-	-	-		
6680	-	-	-	-	-	-	-	-	-		
6690	-	-	-	-	-	-	-	-	-		
6700	-	-	-	-	-	-	-	-	-		
6710	-	-	-	-	-	-	-	-	-		
6720	-	-	-	-	-	-	-	-	-		
6730	-	-	-	-	-	-	-	-	-		
6740	-	-	-	-	-	-	-	-	-		
6750	-	-	-	-	-	-	-	-	-		
6760	-	-	-	-	-	-	-	-	-		
6770	-	-	-	-	-	-	-	-	-		
6780	-	-	-	-	-	-	-	-	-		
6790	-	-	-	-	-	-	-	-	-		
6800	-	-	-	-	-	-	-	-	-		
6810	-	-	-	-	-	-	-	-	-		
6820	-	-	-	-	-	-	-	-	-		
6830	-	-	-	-	-	-	-	-	-		
6840	-	-	-	-	-	-	-	-	-		
6850	-	-	-	-	-	-	-	-	-		
6860	-	-	-	-	-	-	-	-	-		
6870	-	-	-	-	-	-	-	-	-		
6880	-	-	-	-	-	-	-	-	-		
6890	-	-	-	-	-	-	-	-	-		
6900	-	-	-	-	-	-	-	-	-		
6910	-	-	-	-	-	-	-	-	-		
6920	-	-	-	-	-	-	-	-	-		
6930	-	-	-	-	-	-	-	-	-		
6940	-	-	-	-	-	-	-	-	-		
6950	-	-	-	-	-	-	-	-	-		
6960	-	-	-	-	-	-	-	-	-		
6970	-	-	-	-	-	-	-	-	-		
6980	-	-	-	-	-	-	-	-	-		
6990	-	-	-	-	-	-	-	-	-		
7000	-	-	-	-	-	-	-	-	-		
7010	-	-	-	-	-	-	-	-	-		
7020	-	-	-	-	-	-	-	-	-		
7030	-	-	-	-	-	-	-	-	-		
7040	-	-	-	r	-	-	-	-	-		
7050	-	-	-	r	-	-	-	-	-		
7060	-	-	-	r	-	-	-	-	-		
7070	-	-	-	r	-	-	-	-	-		
7080	-	-	-	r	-	-	-	-	-		
7090	-	-	-	r	-	-	-	-	-		
7100	-	-	-	r	-	-	-	-	-		
7110	-	-	-	r	-	-	-	-	-		
7120	-	-	-	r	-	-	-	-	-		
7130	-	-	-	r	-	-	-	-	-		
7140	-	-	-	-	-	-	-	-	-		
7150	-	-	-	-	-	-	-	-	-		
7160	-	-	-	-	-	-	-	-	-		
7170	-	-	-	-	-	-	-	-	-		
7180	-	-	-	-	-	-	-	-	-		
7190	-	-	-	-	-	-	-	-	-		
7200	r	-	-	r	-	-	-	-	-		
7210	r	-	-	r	-	-	-	-	-		
7220	r	-	-	r	-	-	-	-	-		
7230	r	-	-	r	-	-	-	-	-		
7240	r	-	-	r	-	-	-	-	-		
7250	r	-	-	r	-	-	-	-	-		
7260	r	-	-	r	-	-	-	-	-		
7270	r	-	-	r	-	-	-	-	-		
7280	r	-	-	r	-	-	-	-	-		
7290	r	-	-	r	-	-	-	-	-		
7300	r	-	t	r	-	-	-	-	-		
7310	r	-	t	r	-	-	-	-	-		
7320	t	-	t	r	-	-	-	-	-		
7330	t	-	t	r	-	-	-	-	-		
7340	t	-	t	r	-	-	-	-	-		
7350	t	-	t	r	-	-	-	-	-		
7360	t	-	t	r	-	-	-	-	-		
7370	t	-	t	r	-	-	-	-	-		
7380	t	-	t	r	-	-	-	-	-		
7390	t	-	t	r	-	-	-	-	-		
7400	t	-	t	-	-	-	-	-	-		
7410	t	-	t	-	-	-	-	-	-		
7420	t	-	-	-	-	-	-	-	-		
7430	t	-	-	-	-	-	-	-	-		
7440	t	-	-	-	-	-	-	-	-		
7450	t	-	-	-	-	-	-	-	-		
7460	t	-	-	-	-	-	-	-	-		
7470	t	-	-	-	-	-	-	-	-		
7480	t	-	-	-	-	-	-	-	-		
7490	t	-	-	-	-	-	-	-	-		
7500	t	-	-	r	-	-	-	-	-		
7510	t	-	-	r	-	-	-	-	-		
7520	-	-	-	r	-	-	-	-	-		
7530	-	-	-	r	-	-	-	-	-		
7540	-	-	-	r	-	-	-	-	-		
7550	-	-	-	r	-	-	-	-	-		
7560	r	-	-	r	-	-	-	-	-		
7570	r	-	-	r	-	-	-	-	-		
7580	r	-	-	r	-	-	-	-	-		
7590	r	-	-	r	-	-	-	-	-		
7600	-	-	-	t	-	-	-	-	-		
7610	-	-	-	t	-	-	-	-	-		
7620	t	-	-	t	-	-	-	-	-		
7630	t	-	-	t	-	-	-	-	-		
7640	t	-	-	t	-	-	-	-	-		
7650	t	-	-	t	-	-	-	-	-		
7660	t	-	-	t	-	-	-	-	-		
7670	t	-	-	t	-	-	-	-	-		
7680	t	-	-	t	-	-	-	-	-		
7690	t	-	-	t	-	-	-	-	-		
7700	t	-	-	-	-	-	-	-	-		
7710	t	-	-	-	-	-	-	-	-		
7720	t	-	-	-	-	-	-	-	-		
7730	t	-	-	-	-	-	-	-	-		
7740	t	-	-	-	-	-	-	-	-		
7750	t	-	-	-	-	-	-	-	-		
7760	t	-	-	-	-	-	-	-	-		
7770	t	-	-	-	-	-	-	-	-		
7780	t	-	-	-	-	-	-	-	-		
7790	t	-	-	-	-	-	-	-	-		
7800	t	-	-	-	-	-	-	-	-		
7810	t	-	-	-	-	-	-	-	-		
7820	r	-	-	-	-	-	-	-	-		
7830	r	-	-	-	-	-	-	-	-		
7840	r	-	-	-	-	-	-	-	-		
7850	r	-	-	-	-	-	-	-	-		
7860	r	-	-	-	-	-	-	-	-		
7870	r	-	-	-	-	-	-	-	-		
7880	r	-	-	-	-	-	-	-	-		
7890	r	-	-	-	-	-	-	-	-		
7900	r	-	-	-	-	-	-	-	-		
7910	r	-	-	-	-	-	-	-	-		
7920	r	-	-	-	-	-	-	-	-		
7930	r	-	-	-	-	-	-	-	-		
7940	-	-	-	-	-	-	-	-	-		
7950	-	-	-	-	-	-	-	-	-		
7960	-	-	-	-	-	-	-	-	-		
7970	-	-	-	-	-	-	-	-	-		
7980	-	-	-	-	-	-	-	-	-		
7990	-	-	-	-	-	-	-	-	-		
8000	-	-	-	-	-	-	-	-	-		
8010	-	-	-	-	-	-	-	-	-		
8020	-	-	-	-	-	-	-	-	-		
8030	-	-	-	-	-	-	-	-	-		
8040	-	-	-	-	-	-	-	-	-		
8050	-	-	-	-	-	-	-	-	-		
8060	-	-	-	-	-	-	-	-	-		
8070	-	-	-	-	-	-	-	-	-		
8080	-	-	-	-	-	-	-	-	-		
8090	-	-	-	-	-	-	-	-	-		
8100	-	-	-	-	-	-	-	-	-		
8110	-	-	-	-	-	-	-	-	-		
8120	-	-	-	t	-	-	-	-	-		
8130	-	-	-	t	-	-	-	-	-		
8140	-	-	-	t	-	-	-	-	-		
8150	-	-	-	t	-	-	-	-	-		
8160	-	-	-	t	-	-	-	-	-		
8170	-	-	-	t	-	-	-	-	-		
8180	-	-	-	t	-	-	-	-	-		
8190	-	-	-	t	-	-	-	-	-		
8200	-	-	-	t	-	-	-	-	-		
8210	-	-	-	t	-	-	-	-	-		
8220	-	-	-	-	-	-	-	-	-		
8230	-	-	-	-	-	-	-	-	-		
8240	-	-	-	-	-	-	-	-	-		
8250	-	-	-	-	-	-	-	-	-		
8260	-	-	-	-	-	-	-	-	-		
8270	-	-	-	-	-	-	-	-	-		
8280	-	-	-	-	-	-	-	-	-		
8290	-	-	-	-	-	-	-	-	-		
8300	-	-	-	-	-	-	-	-	-		
8310	-	-	-	-	-	-	-	-	-		
8320	-	-	-	-	-	-	-	-	-		
8330	-	-	-	-	-	-	-	-	-		
8340	-	-	-	-	-	-	-	-	-		
8350	-	-	-	-	-	-	-	-	-		
8360	-	-	-	-	-	-	-	-	-		
8370	-	-	-	-	-	-	-	-	-		
8380	-	-	-	-	-	-	-	-	-		
8390	-	-	-	-	-	-	-	-	-		
8400	-	-	-	-	-	-	-	-	-		
8410	-	-	-	-	-	-	-	-	-		
8420	-	-	-	-	-	-	-	-	-		
8430	-	-	-	-	-	-	-	-	-		
8440	-	-	-	-	-	-	-	-	-		
8450	-	-	-	-	-	-	-	-	-		
8460	-	-	-	-	-	-	-	-	-		
8470	-	-	-	-	-	-	-	-	-		
8480	-	-	-	-	-	-	-	-	-		
8490	-	-	-	-	-	-	-	-	-		
8500	-	-	-	-	-	-	-	-	-		
8510	-	-	-	-	-	-	-	-	-		
8520	-	-	-	-	-	-	-	-	-		
8530	-	-	-	-	-	-	-	-	-		
8540	-	-	-	-	-	-	-	-	-		
8550	-	-	-	-	-	-	-	-	-		
8560	-	-	-	-	-	-	-	-	-		
8570	-	-	-	-	-	-	-	-	-		
8580	-	-	-	-	-	-	-	-	-		
8590	-	-	-	-	-	-	-	-	-		
8600	-	-	-	-	-	-	-	-	-		
8610	-	-	-	-	-	-	-	-	-		
8620	-	-	-	-	-	-	-	-	-		
8630	-	-	-	-	-	-	-	-	-		
8630	-	-	-	-	-	-	-	-	-		
8640	-	-	-	-	-	-	-	-	-		
8650	-	-	-	-	-	-	-	-	-		
8650	-	-	-	-	-	-	-	-	-		
8670	-	-	-	-	-	-	-	-	-		
8690	-	-	-	-	-	-	-	-	-		
8700	t	-	-	-	-	-	-	-	-		
8710	t	-	-	r	-	-	-	-	-		
8720	t	-	-	r	-	-	-	-	-		
8730	t	-	-	r	-	-	-	-	-		
8740	t	-	-	-	-	-	-	-	-		
8750	t	-	-	r	-	-	-	r	-		
8760	t	-	-	r	-	-	-	r	-		
8770	t	-	-	r	-	-	-	r	-		
8780	t	-	-	r	-	-	-	r	-		
8790	t	-	-	r	-	-	-	r	-		
8800	t	-	-	r	-	-	-	-	-		
8810	t	-	-	r	-	-	-	-	-		
8820	t	-	-	r	-	-	-	-	-		
8830	t	-	-	r	-	-	-	r	-		
8840	t	-	-	r	-	-	-	r	-		
8850	t	-	-	r	-	-	-	-	-		
8860	t	-	-	r	-	-	-	r	-		
8870	t	-	-	r	-	-	-	r	-		
8880	t	-	-	r	-	-	-	r	-		
8890	t	-	-	r	-	-	-	r	-		
8900	t	-	-	-	-	-	-	-	-		
8910	t	-	-	-	-	-	-	-	-		
8920	t	-	-	-	-	-	-	-	-		
8930	t	-	-	-	-	-	-	-	-		
8940	t	-	-	-	-	-	-	-	-		
8950	t	-	-	-	-	-	-	-	-		
8960	t	-	-	-	-	-	-	-	-		
8970	t	-	-	-	-	-	-	-	-		
8980	t	-	-	-	-	-	-	-	-		
8990	t	-	-	-	-	-	-	-	-		
9000	t	-	-	-	-	-	-	-	-		
9010	t	-	-	-	-	-	-	-	-		
9020	t	-	-	-	-	-	-	-	-		
9030	t	-	-	-	-	-	-	-	-		
9040	t	-	-	-	-	-	-	-	-		
9050	t	-	-	-	-	-	-	-	-		
9060	t	-	-	r	-	-	-	-	-		
9070	t	-	-	r	-	-	-	r	-		
9080	t	-	-	-	-	-	-	-	-		
9090	t	-	-	-	-	-	-	-	-		
9100	t	-	-	r	-	-	-	-	-		
9110	t	-	-	-	-	-	-	-	-		
9120	t	-	-	-	-	-	-	-	-		
9130	t	-	-	-	-	-	-	-	-		
9140	t	-	-	-	-	-	-	-	-		
9150	t	-	-	-	-	-	-	-	-		
9160	t	-	-	-	-	-	-	-	-		
9170	t	-	-	r	-	-	-	-	-		
9180	t	-	-	-	-	-	-	-	-		
9190	t	-	-	-	-	-	-	-	-		
9200	t	-	-	-	-	-	-	-	-		
9210	t	-	-	-	-	-	-	-	-		
9220	t	-	-	-	-	-	-	-	-		
9230	t	-	-	-	-	-	-	-	-		
9240	t	-	-	-	-	-	-	-	-		
9250	t	-	-	-	-	-	-	-	-		
9260	t	-	-	-	-	-	-	-	-		
9270	t	-	-	-	-	-	-	-	-		
9280	t	-	-	-	-	-	-	-	-		
9290	t	-	-	-	-	-	-	-	-		
9300	t	-	-	-	-	-	-	-	-		
9310	t	-	-	-	-	-	-	-	-		
9320	t	-	-	-	-	-	-	-	-		
9330	t	-	-	-	-	-	-	-	-		
9340	t	-	-	-	-	-	-	-	-		
9350	t	-	-	-	-	-	-	-	-		
9360	t	-	-	-	-	-	-	-	-		
9370	t	-	-	-	-	-	-	-	-.		
9370	t	-	-	-	-	-	-	-	-		
9380	t	-	-	-	-	-	-	-	-		
9390	t	-	-	-	-	-	-	-	-		
9400	t	-	-	-	-	-	-	-	-		
